Name,Scholar Link,DBLP Link
Raza Abidi,https://scholar.google.com/citations?user=fzr2PUYAAAAJ,https://dblp.org/pid/53/914
Dirk Arnold,https://scholar.google.com/citations?user=NsIbm80AAAAJ,https://dblp.org/pid/09/3538
Carlos Hernandez-Castillo,https://scholar.google.com/citations?user=rSrWYaIAAAAJ,https://dblp.org/pid/227/7560
Malcolm Heywood,https://scholar.google.com/citations?user=_d-AGjUAAAAJ,https://dblp.org/pid/35/5521
Vlado Keselj,https://scholar.google.com/citations?user=uDKsmuIAAAAJ,https://dblp.org/pid/32/5995
Marta Kryven,https://scholar.google.com/citations?user=5ogGlooAAAAJ,https://dblp.org/pid/134/5551
Suresh Neethirajan,https://scholar.google.com/citations?user=8VZwF0sAAAAJ,https://dblp.org/pid/186/9538
Sageev Oore,https://scholar.google.com/citations?user=cI0dYX4AAAAJ,https://dblp.org/pid/67/4980
Oladapo Oyebode,https://scholar.google.com/citations?user=-6DsTnMAAAAJ,https://dblp.org/pid/234/1108
Masud Rahman,https://scholar.google.com/citations?user=9SrqOewAAAAJ,https://dblp.org/pid/137/6268
Janarthanan Rajendran,https://scholar.google.com/citations?user=-novlhIAAAAJ,https://dblp.org/pid/169/9942
Frank Rudzicz,https://scholar.google.com/citations?user=elXOB1sAAAAJ,https://dblp.org/pid/36/6505
Hassan Sajjad,https://scholar.google.com/citations?user=t3BH6NkAAAAJ,https://dblp.org/pid/73/5938
Tushar Sharma,https://scholar.google.com/citations?user=VHjAIe8AAAAJ,https://dblp.org/pid/75/8719-1
Gabriel Spadon,https://scholar.google.com/citations?user=bfdGsGUAAAAJ,https://dblp.org/pid/192/1659
Yujie Tang,https://scholar.google.com/citations?user=VhWYfm8AAAAJ,https://dblp.org/pid/22/10163-1
Thomas Trappenberg,https://scholar.google.com/citations?user=EwkaTYEAAAAJ,https://dblp.org/pid/t/ThomasTrappenberg
Nils Wilde,https://scholar.google.com/citations?user=lkAmFEEAAAAJ,https://dblp.org/pid/226/6412
Ga Wu,https://scholar.google.com/citations?user=IdBlVPUAAAAJ,https://dblp.org/pid/161/0064
Qiang Ye,https://scholar.google.com/citations?user=4OQaVGUAAAAJ,https://dblp.org/pid/31/334-1
Nur Zincir-Heywood,https://scholar.google.com/citations?user=F9nG0F4AAAAJ,https://dblp.org/pid/303/3845
